index,tax,ptratio,b,lstat,medv
147,403,14.7,169.27,16.65,15.6
148,403,14.7,391.71,29.53,14.6
149,403,14.7,356.99,28.32,17.8
150,403,14.7,351.85,21.45,15.4
151,403,14.7,372.8,14.1,21.5
152,403,14.7,341.6,13.28,19.6
153,403,14.7,343.28,12.12,15.3
154,403,14.7,261.95,15.79,19.4
155,403,14.7,321.02,15.12,17
156,403,14.7,88.01,15.02,15.6
157,403,14.7,88.63,16.14,13.1
158,403,14.7,363.43,4.59,41.3
159,403,14.7,353.89,6.43,24.3
160,403,14.7,364.31,7.39,23.3
161,403,14.7,338.92,5.5,27
162,403,14.7,374.43,1.73,50
163,403,14.7,389.61,1.92,50
164,403,14.7,388.45,3.32,50
165,403,14.7,395.11,11.64,22.7
166,403,14.7,240.16,9.81,25
167,403,14.7,369.3,3.7,50
168,403,14.7,227.61,12.14,23.8
169,403,14.7,297.09,11.1,23.8
170,403,14.7,330.04,11.32,22.3
171,403,14.7,292.29,14.43,17.4
172,403,14.7,348.13,12.03,19.1
173,296,16.6,396.9,14.69,23.1
174,296,16.6,395.5,9.04,23.6
175,296,16.6,393.23,9.64,22.6
176,296,16.6,390.96,5.33,29.4
177,296,16.6,393.23,10.11,23.2
178,296,16.6,395.6,6.29,24.6
179,296,16.6,391.27,6.92,29.9
180,193,17.8,396.9,5.04,37.2
181,193,17.8,395.56,7.56,39.8
182,193,17.8,396.9,9.45,36.2
183,193,17.8,394.12,4.82,37.9
184,193,17.8,396.9,5.68,32.5
185,193,17.8,391,13.98,26.4
186,193,17.8,387.11,13.15,29.6
187,193,17.8,392.63,4.45,50
188,398,15.2,393.87,6.68,32
189,398,15.2,382.84,4.56,29.8
190,398,15.2,396.9,5.39,34.9
191,398,15.2,377.68,5.1,37
192,398,15.2,389.71,4.69,30.5
193,398,15.2,390.49,2.87,36.4
194,265,15.6,393.37,5.03,31.1
195,265,15.6,376.7,4.38,29.1
196,255,14.4,394.23,2.97,50
197,329,12.6,396.9,4.08,33.3
198,329,12.6,354.31,8.61,30.3
199,329,12.6,392.2,6.62,34.6
200,402,17,396.9,4.56,34.9
201,402,17,384.3,4.45,32.9
202,348,14.7,393.77,7.43,24.1
203,348,14.7,395.38,3.11,42.3
204,224,14.7,392.78,3.81,48.5
205,224,14.7,390.55,2.88,50
206,277,18.6,396.9,10.87,22.6
207,277,18.6,394.87,10.97,24.4
208,277,18.6,389.43,18.06,22.5
209,277,18.6,381.32,14.66,24.4
210,277,18.6,396.9,23.09,20
211,277,18.6,393.25,17.27,21.7
212,277,18.6,395.24,23.98,19.3
213,277,18.6,390.94,16.03,22.4
214,277,18.6,385.81,9.38,28.1
215,277,18.6,348.93,29.55,23.7
216,277,18.6,393.63,9.47,25
217,276,16.4,392.8,13.51,23.3
218,276,16.4,392.78,9.69,28.7
219,276,16.4,396.9,17.92,21.5
220,276,16.4,393.74,10.5,23
221,307,17.4,391.7,9.71,26.7
222,307,17.4,395.24,21.46,21.7
223,307,17.4,390.39,9.93,27.5
224,307,17.4,396.9,7.6,30.1
225,307,17.4,385.05,4.14,44.8
226,307,17.4,382,4.63,50
227,307,17.4,387.38,3.13,37.6
228,307,17.4,372.08,6.36,31.6
229,307,17.4,377.51,3.92,46.7
230,307,17.4,380.34,3.76,31.5
231,307,17.4,378.35,11.65,24.3
232,307,17.4,376.14,5.25,31.7
233,307,17.4,385.91,2.47,41.7
234,307,17.4,378.95,3.95,48.3
235,307,17.4,360.2,8.05,29
236,307,17.4,376.75,10.88,24
237,307,17.4,388.45,9.54,25.1
238,307,17.4,390.07,4.73,31.5
239,300,16.6,379.41,6.36,23.7
240,300,16.6,383.78,7.37,23.3
241,300,16.6,391.25,11.38,22
242,300,16.6,394.62,12.4,20.1
243,300,16.6,372.75,11.22,22.2
244,300,16.6,374.71,5.19,23.7
245,330,19.1,372.49,12.5,17.6
246,330,19.1,389.13,18.46,18.5
247,330,19.1,390.18,9.16,24.3
248,330,19.1,376.14,10.15,20.5
249,330,19.1,374.71,9.52,24.5
250,330,19.1,393.74,6.56,26.2
251,330,19.1,396.28,5.9,24.4
252,330,19.1,377.07,3.59,24.8
253,330,19.1,386.09,3.53,29.6
254,330,19.1,396.9,3.54,42.8
255,315,16.4,392.89,6.57,21.9
256,315,16.4,395.18,9.25,20.9
257,244,15.9,386.34,3.11,44
258,264,13,389.7,5.12,50
259,264,13,383.29,7.79,36
260,264,13,391.93,6.9,30.1
261,264,13,392.8,9.59,33.8
262,264,13,388.37,7.26,43.1
263,264,13,386.86,5.91,48.8
264,264,13,393.42,11.25,31
265,264,13,387.89,8.1,36.5
266,264,13,392.4,10.45,22.8
267,264,13,384.07,14.79,30.7
268,264,13,384.54,7.44,50
269,264,13,390.3,3.16,43.5
270,223,18.6,391.34,13.65,20.7
271,223,18.6,388.65,13,21.1
272,223,18.6,396.9,6.59,25.2
273,223,18.6,394.96,7.73,24.4
274,223,18.6,390.77,6.58,35.2
275,254,17.6,396.9,3.53,32.4
276,254,17.6,396.9,2.98,32
277,254,17.6,389.25,6.05,33.2
278,254,17.6,393.45,4.16,33.1
279,254,17.6,396.9,7.19,29.1
280,216,14.9,396.9,4.85,35.1
281,216,14.9,387.31,3.76,45.4
282,216,14.9,392.23,4.59,35.4
283,216,14.9,377.07,3.01,46
284,198,13.6,395.52,3.16,50
285,285,15.3,394.72,7.85,32.2
286,300,15.3,394.72,8.23,22
287,241,18.2,341.6,12.93,20.1
288,293,16.6,396.9,7.14,23.2
289,293,16.6,396.9,7.6,22.3
290,293,16.6,371.72,9.51,24.8
291,245,19.2,396.9,3.33,28.5
292,245,19.2,396.9,3.56,37.3
293,245,19.2,396.9,4.7,27.9
294,289,16,396.9,8.58,23.9
295,289,16,396.9,10.4,21.7
296,289,16,396.9,6.27,28.6
297,289,16,392.85,7.39,27.1
298,289,16,396.9,15.84,20.3
299,358,14.8,368.24,4.97,22.5
300,358,14.8,371.58,4.74,29
301,358,14.8,390.86,6.07,24.8
302,329,16.1,395.75,9.5,22
303,329,16.1,383.61,8.67,26.4
304,329,16.1,390.43,4.86,33.1
305,222,18.4,393.68,6.93,36.1
306,222,18.4,393.36,8.93,28.4
307,222,18.4,396.9,6.47,33.4
308,222,18.4,396.9,7.53,28.2
309,304,18.4,396.9,4.54,22.8
310,304,18.4,396.24,9.97,20.3
311,304,18.4,350.45,12.64,16.1
312,304,18.4,396.9,5.98,22.1
313,304,18.4,396.3,11.72,19.4
314,304,18.4,393.39,7.9,21.6
315,304,18.4,395.69,9.28,23.8
316,304,18.4,396.42,11.5,16.2
317,304,18.4,390.7,18.33,17.8
318,304,18.4,396.9,15.94,19.8
319,304,18.4,395.21,10.36,23.1
320,304,18.4,396.23,12.73,21
321,287,19.6,396.9,7.2,23.8
322,287,19.6,396.9,6.87,23.1
323,287,19.6,396.9,7.7,20.4
324,287,19.6,391.13,11.74,18.5
325,287,19.6,396.9,6.12,25
326,287,19.6,393.68,5.08,24.6
327,287,19.6,396.9,6.15,23
328,287,19.6,396.9,12.79,22.2
329,430,16.9,382.44,9.97,19.3
330,430,16.9,375.21,7.34,22.6
331,430,16.9,368.57,9.09,19.8
332,304,16.9,394.02,12.43,17.1
333,304,16.9,362.25,7.83,19.4
334,224,20.2,389.71,5.68,22.2
335,224,20.2,389.4,6.75,20.7
336,224,20.2,396.9,8.01,21.1
337,224,20.2,396.9,9.8,19.5
338,224,20.2,394.81,10.56,18.5
339,224,20.2,396.14,8.51,20.6
340,224,20.2,396.9,9.74,19
341,224,20.2,396.9,9.29,18.7
342,284,15.5,394.74,5.49,32.7
343,422,15.9,389.96,8.65,16.5
344,370,17.6,396.9,7.18,23.9
345,370,17.6,387.97,4.61,31.2
346,352,18.8,385.64,10.53,17.5
347,352,18.8,364.61,12.67,17.2
348,351,17.9,392.43,6.36,23.1
349,280,17,390.94,5.99,24.5
350,335,19.7,389.85,5.89,26.6
351,335,19.7,396.9,5.98,22.9
352,411,18.3,370.78,5.49,24.1
353,411,18.3,392.33,7.79,18.6
354,187,17,384.46,4.5,30.1
355,334,22,382.8,8.05,18.2
356,334,22,376.04,5.57,20.6
357,666,20.2,377.73,17.6,17.8
358,666,20.2,391.34,13.27,21.7
359,666,20.2,395.43,11.48,22.7
360,666,20.2,390.74,12.67,22.6
361,666,20.2,374.56,7.79,25
362,666,20.2,350.65,14.19,19.9
363,666,20.2,380.79,10.19,20.8
364,666,20.2,353.04,14.64,16.8
365,666,20.2,354.55,5.29,21.9
366,666,20.2,354.7,7.12,27.5
367,666,20.2,316.03,14,21.9
368,666,20.2,131.42,13.33,23.1
369,666,20.2,375.52,3.26,50
370,666,20.2,375.33,3.73,50
371,666,20.2,392.05,2.96,50
372,666,20.2,366.15,9.53,50
373,666,20.2,347.88,8.88,50
374,666,20.2,396.9,34.77,13.8
375,666,20.2,396.9,37.97,13.8
376,666,20.2,396.9,13.44,15
377,666,20.2,363.02,23.24,13.9
378,666,20.2,396.9,21.24,13.3
379,666,20.2,396.9,23.69,13.1
380,666,20.2,393.74,21.78,10.2
381,666,20.2,396.9,17.21,10.4
382,666,20.2,396.9,21.08,10.9
383,666,20.2,396.9,23.6,11.3
384,666,20.2,396.9,24.56,12.3
385,666,20.2,285.83,30.63,8.8
386,666,20.2,396.9,30.81,7.2
387,666,20.2,396.9,28.28,10.5
388,666,20.2,396.9,31.99,7.4
389,666,20.2,372.92,30.62,10.2
390,666,20.2,396.9,20.85,11.5
391,666,20.2,394.43,17.11,15.1
392,666,20.2,378.38,18.76,23.2
393,666,20.2,396.9,25.68,9.7
394,666,20.2,396.9,15.17,13.8
395,666,20.2,396.9,16.35,12.7
396,666,20.2,391.98,17.12,13.1
397,666,20.2,396.9,19.37,12.5
398,666,20.2,393.1,19.92,8.5
399,666,20.2,396.9,30.59,5
